# Just a list of connections between cities 
# ..

#Green Connections 
Flensburg -> Kiel: 4
Kiel -> Hamburg: 8
Kiel -> Lubeck: 4
Hamburg -> Cuxhaven: 11
Hamburg -> Bremen: 11
Hamburg -> Lubeck: 6
Hamburg -> Schwerin: 8
Hamburg -> Hannover: 17
Cuxhaven -> Bremen: 8
Wilhelmshaven -> Bremen: 11
Bremen -> Hannover: 10
Hannover -> Schwerin: 19
Hannover -> Magdeburg: 15
Wilhelmshaven -> Osnabruck: 14
Bremen -> Osnabruck: 11
Hannover -> Osnabruck: 16
Hannover -> Kassel: 15
Hannover -> Erfurt: 19


#Orange Connections
Lubeck -> Schwerin: 6
Schwerin -> Rostock: 6
Schwerin -> Torgelow: 19
Schwerin -> Magdeburg: 16
Rostock -> Torgelow: 19
Berlin -> Schwerin: 18
Magdeburg -> Berlin: 10
Torgelow -> Berlin: 15
Frankfurto -> Berlin: 6
Frankfurto -> Dresden: 16
Frankfurto -> Leipzig: 21
Berlin -> Halle: 17
Magdeburg -> Halle: 11

#Red Connections
Osnabruck -> Munster: 7
Osnabruck -> Kassel: 20
Munster -> Essen: 6
Munster -> Dortmund: 2
Essen -> Dortmund: 4
Essen -> Dusseldorf: 2
Duisburg -> Essen: 0
Dusseldorf -> Aachen: 9
Dusseldorf -> Koln: 4
Dortmund -> Koln: 10
Dortmund -> Kassel: 18
Dortmund -> Frankfurtm: 20
Kassel -> Erfurt: 15
Kassel -> Fulda: 8
Kassel -> Frankfurtm: 13

#Yellow Connections
Dresden -> Leipzig: 13
Dresden -> Erfurt: 19
Leipzig -> Halle: 0
Halle -> Erfurt: 6
Erfurt -> Fulda: 13
Fulda -> Wurzburg: 11
Fulda -> Frankfurtm: 8
Wurzburg -> Mannheim: 10
Wurzburg -> Frankfurtm: 13
Wurzburg -> Nurnberg: 8
Wurzburg -> Stuttgart: 12
Wurzburg -> Augsburg: 19
Nurnberg -> Regensburg: 12
Nurnberg -> Augsburg: 18
Nurnberg -> Erfurt: 21


#Blue Connections
Aachen -> Koln: 7
Aachen -> Trier: 19
Koln -> Trier: 20
Koln -> Wiesbaden: 21
Trier -> Wiesbaden: 18
Trier -> Saarbrucken: 11
Wiesbaden -> Saarbrucken: 10
Wiesbaden -> Mannheim: 11
Frankfurtm -> Wiesbaden: 0
Mannheim -> Saarbrucken: 11
Mannheim -> Stuttgart: 6
Saarbrucken -> Stuttgart: 17

#Purple Connections
Stuttgart -> Freiburg: 16
Stuttgart -> Konstanz: 16
Stuttgart -> Augsburg: 15
Freiburg -> Konstanz: 14
Konstanz -> Augsburg: 17
Augsburg -> Regensburg: 13
Augsburg -> Munchen: 6
Regensburg -> Passau: 12
Regensburg -> Munchen: 10
Passau -> Munchen: 14
