# List of Resources for step 2, in a 3 player game
#..
 
#Starting resources
coal 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
coal_cost 1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8
coal_refill 5
oil 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
oil_cost 1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8
oil_refill 3
garbage 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
garbage_cost 1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8
garbage_refill 2
nuclear 1,2,3,4,5,6,7,8,9,10,11,12,13,14
nuclear_cost 1,2,3,4,5,6,7,8,9,10,12,14,16
nuclear_refill 1
